Bee movie;G;Simon J Smith;Barry B Benson, a bee who has just completed his graduation, decides to sue humans after he learns about the exploitation of bees at the hands of mankind.;Jerry Seinfield, Patrick Warburton, Renee Zellweger;Now Showing
Ghostbusters;PG13;Ivan Reitman;When 3 men lose their jobs as scientists, they start an establishment called Ghostbusters to fight the evil ghosts lurking in New York City.;Harold Rammis, Bill Murray, Sigourney Weaver;Now Showing
La La Land;PG13;Damien Chazelle;When a pianist and an actress follow their passion and achieve success in their respective fields, they find themselves torn between their love for each other and their careers.;Emma Stone, Ryan Gosling, J K Simmons;Now Showing
Avatar;PG13;James Cameron;Jake, a paraplegic, replaces his twin on the Na'vi inhabited Pandora for a corporate mission. After the natives accept him as one of their own, he must decide where his loyalties lie.;Zoe Saldana, Sam Worthington, Sigourney Weaver;Now Showing
Inception;PG13;Christopher Nolan;A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.;Leonardo DiCaprio, Joseph Gordon Levitt, Tom Hardy;Now Showing
The Conjuring;M18;James Wan;Ed and Lorraine Warren, world renowned paranormal investigators, were called to help a family terrorized by a dark presence in a secluded farmhouse.;Vera Farmiga, Patrick Wilson, Sterling Jerins;Now Showing
Toy Story;G;John Lasseter;Set in a world where toys come alive, the world's first computer-animated movie focuses on the toys of Andy Davis in a world of adventure.;Tom Hanks, Jim Varney, Nathan Lane;Now Showing
The Avengers;PG13;Joss Whedon;Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving the world;Scarlett Johnansson, Colbie Smulders, Chris Evans;Now Showing
Finding nemo;PG13;Andrew Stanton;After his son gets abducted from the Great Barrier Reef and is dispatched to Sydney, Marlin, a meek clownfish, enlists the help of a forgetful fish and embarks on a journey to bring him home.;Alexendar Gould, Ellen DeGeneres, Albert Brooks;Now Showing
Interstellar;PG13;Christopher Nolan;Ambitious intergalactic drama focuses on a father's promise.;Matthew McConaughey, Jessica Chastain, Anne Hathaway;Now Showing
Up;G;Pete Docter;78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.;Edward Asner, Jordan Nagai, Elizabath Docter;Now Showing
